#start
#stop
# omega	 amplitude	 phase
55.6062	0.00853055	0.553295
55.7633	0.0081238	0.489273
55.9203	0.00809097	0.39412
56.0774	0.00783715	0.252137
56.2345	0.00722504	0.133029
56.3916	0.00680931	0.067562
56.5487	0.00679554	-0.022027
56.7057	0.00663593	-0.170895
56.8628	0.00608842	-0.305263
57.0199	0.00564183	-0.372132
57.177	0.00561744	-0.450229
57.3341	0.00553602	-0.601549
57.4911	0.00505872	-0.751361
57.6482	0.00458641	-0.819526
57.8053	0.00453959	-0.87867
57.9624	0.00452935	-1.02606
58.1195	0.0041382	-1.18998
58.2765	0.00366683	-1.25961
58.4336	0.0036046	-1.29325
58.5907	0.00366215	-1.43151
58.7478	0.00336671	-1.60939
58.9049	0.00292085	-1.68303
59.0619	0.00285245	-1.68735
59.219	0.00297172	-1.81348
59.3761	0.00277191	-2.00729
59.5332	0.00236595	-2.09259
59.6903	0.00229094	-2.07095
59.8473	0.00245462	-2.18521
60.0044	0.0023358	-2.39876
60.1615	0.00196673	-2.50675
60.3186	0.00187149	-2.4652
60.4757	0.0020585	-2.56542
60.6327	0.00200504	-2.80144
60.7898	0.00166488	-2.94422
60.9469	0.00152975	-2.88718
61.104	0.00172018	-2.96276
61.2611	0.00172264	3.06342
61.4181	0.0014117	2.87618
61.5752	0.00122638	2.9462
61.7323	0.00140722	2.91395
61.8894	0.00146195	2.63954
62.0465	0.00118817	2.39855
62.2035	0.000952147	2.47539
62.3606	0.00111435	2.51522
62.5177	0.00121953	2.22881
62.6748	0.000995007	1.92602
62.8319	0.000719168	1.9908
62.9889	0.000854594	2.1395
63.146	0.00100454	1.84677
63.3031	0.000836728	1.47785
63.4602	0.000540092	1.49692
63.6173	0.000642067	1.79402
63.7743	0.000827612	1.49888
63.9314	0.000716228	1.06368
64.0885	0.000419292	0.992512
64.2456	0.000479579	1.46608
64.4026	0.000689273	1.1731
64.5597	0.000628142	0.675499
64.7168	0.000347403	0.476052
64.8739	0.000356573	1.12997
